time,model_name,tokens,total_time
2025-12-06 16:22:52,gpt-4.1,497480,261.9020218849182
2025-12-06 16:24:22,gpt-4.1,169407,89.17896914482117
2025-12-06 16:27:06.745478,Vision Expert,gpt-4.1-mini,6325,135,6460,0.0
2025-12-06 16:28:56,gpt-4.1,333944,184.74834203720093
2025-12-06 16:30:21.314765,Vision Expert,gpt-4.1-mini,4033,236,4269,0.0
2025-12-06 16:30:29.105960,Vision Expert,gpt-4.1-mini,4827,271,5098,0.0
2025-12-06 16:35:02,gpt-4.1,669267,366.20776891708374
2025-12-06 16:36:12.347116,Vision Expert,gpt-4.1-mini,6141,315,6456,0.0
2025-12-06 16:38:58,gpt-4.1,336563,235.97129607200623
