timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-29 12:51:38.825119,LiteratureReviewExpert,gpt-4.1-mini,3562,1296,4858,0.0
2025-11-29 12:51:55.767449,MathExpert,o3-mini,1993,789,2782,0.0
2025-11-29 12:52:24.392720,DiscoveryScientist,gpt-4.1,21606,2444,24050,93.40673398971558
2025-11-29 12:52:58.720481,ModelerScientist,gpt-4.1,21673,1921,23594,0.0
2025-11-29 12:58:15.815362,NetworkScientist,gpt-4.1,104992,8093,113085,0.0
2025-11-29 12:59:16.723480,ParameterScientist,gpt-4.1,42648,3570,46218,0.0
2025-11-29 13:00:42.773712,Vision Expert,gpt-4.1-mini,5390,549,5939,0.0
2025-11-29 13:00:48.120232,SimulationScientist,gpt-4.1,132419,6753,139172,0.0
2025-11-29 13:01:30.934455,Vision Expert,gpt-4.1-mini,5488,534,6022,0.0
2025-11-29 13:01:58.699892,DataExpert,gpt-4.1-mini,14196,2413,16609,0.0
2025-11-29 13:02:32.166691,DataScientist,gpt-4.1,41165,4629,45794,0.0
